Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,7.060234,7.078716,6.441077,6.515007,6.348651,54864630
2020-05-22,6.598177,6.810723,6.505766,6.625900,6.456712,34741366
2020-05-25,6.468801,7.337469,6.431836,7.208093,7.024039,56429479
2020-05-26,7.513050,7.734838,6.810723,6.829206,6.654827,49761042
2020-05-27,6.884652,7.143405,6.681347,7.115681,6.933987,41700244
2020-05-28,7.115681,7.818008,6.967823,7.513050,7.321209,60395979
2020-05-29,7.429880,7.670150,7.245057,7.670150,7.474298,43704541
2020-06-01,7.697873,7.984349,7.614703,7.679391,7.483303,33594430
2020-06-02,7.744079,8.095242,7.734838,7.947384,7.744453,34763225
2020-06-03,8.233860,9.934230,8.169172,9.934230,9.680566,90484567
2020-06-04,10.460976,10.876827,9.435208,9.656996,9.410411,92616121
2020-06-05,10.303876,10.424011,9.610790,9.934230,9.680566,49785389
2020-06-08,10.165259,10.876827,10.026642,10.858345,10.581085,59549223
2020-06-09,10.627316,12.845191,10.350082,12.216793,11.904845,101643790
2020-06-10,13.030014,13.094702,11.800942,11.976523,11.670711,70768828
2020-06-12,11.274196,11.745495,10.618075,10.618075,10.346951,76176924
2020-06-15,9.924989,10.331600,9.157974,9.564584,9.320358,86420136
2020-06-16,9.333556,10.229947,9.157974,9.435208,9.194286,68686510
2020-06-17,9.481414,9.758649,9.204180,9.315074,9.077220,39054360
2020-06-18,9.287350,9.786372,9.250386,9.379762,9.140256,36792735
2020-06-19,9.740166,9.777131,9.389003,9.601549,9.356380,30218333
2020-06-22,9.703202,11.218749,9.638514,11.181785,10.896265,95021992
2020-06-23,11.690048,12.096658,10.470217,10.627316,10.355955,107942144
2020-06-24,10.867586,11.227991,10.165259,10.220706,9.959727,62241854
2020-06-25,10.313117,10.608834,9.860301,10.396288,10.130826,56754764
2020-06-26,11.089373,11.246473,10.645798,10.959997,10.680141,81375414
2020-06-29,11.403572,11.800942,11.274196,11.514466,11.220452,68818637
2020-06-30,11.089373,12.050452,9.989677,10.165259,9.905697,147850294
2020-07-01,9.610790,9.915748,9.259627,9.435208,9.194286,99189765
2020-07-02,9.564584,9.656996,8.243101,8.280065,8.068639,116006296
2020-07-03,7.993590,8.945428,7.688632,8.945428,8.717012,138098364
2020-07-06,9.222662,9.352038,8.658952,8.788328,8.563925,74665207
2020-07-07,8.686676,8.982392,8.557300,8.788328,8.563925,37453584
2020-07-08,8.797569,8.908463,8.575782,8.612747,8.392826,40383740
2020-07-09,7.762561,8.732881,7.679391,8.594264,8.374816,93218103
2020-07-10,8.640470,8.705158,8.427924,8.501853,8.284764,31029596
2020-07-13,8.603505,9.610790,8.594264,8.982392,8.753033,91206014
2020-07-14,9.110000,9.380000,8.770000,9.300000,9.062531,61670800
2020-07-15,9.550000,9.580000,9.050000,9.140000,8.906617,37041200
2020-07-16,9.070000,9.180000,8.900000,8.950000,8.721467,29115500
2020-07-17,9.040000,9.140000,8.960000,9.000000,8.770191,25447700
2020-07-20,9.030000,9.050000,8.810000,8.920000,8.692234,24671300
2020-07-21,8.890000,8.890000,8.440000,8.520000,8.302447,35105300
2020-07-22,8.460000,8.530000,8.040000,8.170000,7.961385,36833400
2020-07-23,8.170000,8.230000,7.830000,7.850000,7.649556,32632800
2020-07-24,7.750000,8.560000,7.560000,8.340000,8.127044,57193600
2020-07-27,8.460000,8.550000,8.050000,8.170000,7.961385,29796200
2020-07-28,8.170000,8.350000,8.060000,8.200000,7.990619,22264300
2020-07-29,8.050000,8.320000,8.050000,8.180000,7.971129,20074400
2020-07-30,8.100000,8.220000,7.950000,8.070000,7.863938,20176500
2020-07-31,8.120000,8.270000,7.970000,7.970000,7.766491,29898700
2020-08-03,7.750000,7.880000,7.630000,7.700000,7.503386,35193500
2020-08-04,7.620000,8.020000,7.450000,7.600000,7.405939,36820900
2020-08-05,7.700000,7.750000,7.500000,7.530000,7.337727,21723400
2020-08-06,7.580000,7.840000,7.470000,7.840000,7.639811,28872400
2020-08-07,7.800000,8.260000,7.690000,7.770000,7.571598,47884200
2020-08-10,7.830000,7.830000,7.580000,7.650000,7.549950,23411800
2020-08-11,7.720000,8.310000,7.660000,8.110000,8.003933,50590300
2020-08-12,8.200000,8.290000,7.750000,7.830000,7.727595,41269500
2020-08-13,7.880000,8.130000,7.640000,7.680000,7.579557,35037800
2020-08-14,7.750000,7.880000,7.580000,7.770000,7.668380,23942800
2020-08-17,7.700000,7.770000,7.390000,7.470000,7.470000,26701800
2020-08-18,7.600000,7.640000,7.430000,7.550000,7.550000,15273800
2020-08-19,7.540000,7.580000,7.160000,7.190000,7.190000,29728600
2020-08-20,7.050000,7.350000,7.000000,7.310000,7.310000,21008000
2020-08-21,7.320000,8.250000,7.270000,8.210000,8.210000,67073900
2020-08-24,8.120000,8.200000,7.750000,7.930000,7.930000,42807900
2020-08-25,7.960000,8.250000,7.810000,7.940000,7.940000,37548800
2020-08-26,8.140000,8.190000,7.620000,7.690000,7.690000,35643500
2020-08-27,7.710000,7.800000,7.600000,7.620000,7.620000,15126600
2020-08-28,7.640000,7.700000,7.440000,7.500000,7.500000,20512600
2020-08-31,7.000000,7.280000,6.950000,7.130000,7.130000,39646700
2020-09-01,7.200000,7.230000,6.910000,6.970000,6.970000,32354200
2020-09-02,7.000000,7.080000,6.860000,7.010000,7.010000,23680800
2020-09-03,7.030000,7.160000,6.830000,6.840000,6.840000,28111900
2020-09-04,6.910000,7.040000,6.660000,6.950000,6.950000,45802800
2020-09-08,6.860000,6.860000,6.680000,6.720000,6.720000,20059300
2020-09-09,6.770000,6.800000,6.460000,6.510000,6.510000,29200100
2020-09-10,6.500000,6.650000,6.260000,6.300000,6.300000,32068200
2020-09-11,6.340000,6.370000,6.030000,6.040000,6.040000,30031900
2020-09-14,6.090000,6.180000,5.940000,6.120000,6.120000,29627000
2020-09-15,6.190000,6.270000,5.920000,5.920000,5.920000,25532800
2020-09-16,5.960000,6.020000,5.900000,5.920000,5.920000,19682400
2020-09-17,5.880000,6.000000,5.810000,5.910000,5.910000,18526100
2020-09-18,5.930000,5.930000,5.560000,5.620000,5.620000,29544800
2020-09-21,5.510000,5.520000,5.330000,5.410000,5.410000,27066600
2020-09-22,5.400000,5.790000,5.350000,5.750000,5.750000,33648400
2020-09-23,6.000000,6.480000,5.990000,6.300000,6.300000,94200400
2020-09-24,6.600000,7.300000,6.410000,7.080000,7.080000,128481700
2020-09-25,7.000000,7.690000,6.950000,7.170000,7.170000,140245700
2020-09-28,7.350000,7.570000,6.950000,7.230000,7.230000,88882400
2020-09-29,7.450000,7.580000,7.310000,7.310000,7.310000,57153300
2020-09-30,7.550000,7.570000,7.300000,7.490000,7.490000,57825900
2020-10-01,7.490000,8.110000,7.460000,8.100000,8.100000,96153700
2020-10-02,8.090000,8.320000,7.900000,8.090000,8.090000,80839200
2020-10-05,8.230000,8.720000,8.220000,8.650000,8.650000,83441700
2020-10-06,8.800000,8.900000,7.170000,7.170000,7.170000,233194700
2020-10-07,6.950000,7.060000,6.360000,6.440000,6.440000,159466800
2020-10-08,6.510000,7.740000,6.410000,7.740000,7.740000,186357200
2020-10-09,7.830000,7.850000,7.050000,7.180000,7.180000,156121800
2020-10-13,7.400000,7.450000,7.080000,7.140000,7.140000,43851600
